budget,homepage,movie_id,movie_status,popularity,release_date,release_year,revenue,runtime,tagline,title,vote_average,vote_count
140000000,http://www.mgm.com/view/movie/232/Die-Another-Day/,36669,Released,54.159393,2002-11-17,2002,431971116,133,He’s never been cooler.,Die Another Day,5.8,1092
125000000,http://harrypotter.warnerbros.com/harrypotterandthedeathlyhallows/mainsite/index.html,671,Released,109.98435,2001-11-16,2001,976475550,152,Let the Magic Begin.,Harry Potter and the Philosopher's Stone,7.5,7006
70000000,http://www.avp-movie.com/,395,Released,42.957214,2004-08-12,2004,171183863,101,Whoever wins... We lose,AVP: Alien vs. Predator,5.5,1217
950000,http://undiscoveredgyrl.com/,271185,Released,8.976128,2014-04-19,2014,0,100,Young. Not so innocent.,Ask Me Anything,5.5,155
115000000,null,12100,Released,18.714197,2002-06-14,2002,77628265,134,Honor Was Their Code.,Windtalkers,5.8,341
55000000,null,10375,Released,12.669778,2002-01-04,2002,6416302,96,Survival is a Killer.,D-Tox,5.3,123
40000000,null,11066,Released,6.420434,1992-06-30,1992,70100000,117,A Player Who's About to be Played.,Boomerang,5.4,134
40000000,null,1491,Released,36.960953,2006-08-18,2006,86915017,110,Nothing Is What It Seems.,The Illusionist,7.1,1615
26000000,null,18147,Released,10.006282,2006-12-08,2006,0,90,No plane, no parents, no problem!,Unaccompanied Minors,5.4,66
20000000,null,272878,Released,14.136476,2015-06-26,2015,43967255,111,Best Friend. Hero. Marine.,Max,6.8,276
20000000,null,579,Released,19.636044,1978-06-16,1978,187884007,116,Just when you thought it was safe to go back in the water...,Jaws 2,5.9,406
6500000,null,18923,Released,5.483531,2004-07-23,2004,1548955,96,Family can be whatever you want it to be.,A Home at the End of the World,6.8,45
5000000,null,9012,Released,14.752587,2002-10-21,2002,64282312,87,Do not attempt this at home.,Jackass: The Movie,6.1,345
3000000,null,3089,Released,5.344815,1948-08-26,1948,9012000,133,Big as the men who faced this challenge! Bold as the women who loved them!,Red River,7.3,82
0,null,157293,Released,1.294967,2013-02-07,2013,222000,160,India's First 3D Dance movie,एबीसीडी,5.6,10
0,null,63287,Released,2.948576,2008-06-20,2008,0,93,Lust, drugs and violence... no place for a kid.,The Poker House,6.1,47
0,null,56491,Released,0.429587,2006-04-21,2006,0,88,Behind Enemy Lines No Man Can Stop Her. Only One Woman Can Touch Her.,In Her Line of Fire,3.3,9
25000000,null,20309,Released,2.909346,2001-03-12,2001,0,95,null,Say It Isn't So,4.8,47
5000000,null,17339,Released,5.348446,1978-11-01,1978,7230000,118,null,Force 10 from Navarone,6.4,91
0,null,139998,Released,0.620554,2012-01-23,2012,0,87,null,Supporting Characters,6.7,10
175000000,http://movies.disney.com/inside-out,150540,Released,128.65596,2015-06-09,2015,857611174,94,Meet the little voices inside your head.,Inside Out,8.0,6560
52000000,https://www.facebook.com/CatchMeIfYouCanMovie,640,Released,73.944046,2002-12-25,2002,352114312,141,The true story of a real fake.,Catch Me If You Can,7.7,3795
35000000,http://www.furryvengeance-movie.com/,35169,Released,13.668633,2010-04-02,2010,39340177,92,He came. He saw. They conquered.,Furry Vengeance,4.6,149
12000000,http://www.actofvalor.com/,75674,Released,21.958055,2012-02-24,2012,81272766,110,The only easy day was yesterday,Act of Valor,6.3,417
7000000,http://www.automata-movie.com/,262543,Released,49.808506,2014-10-09,2014,0,110,Your time is coming to an end – Ours is now beginning,Autómata,5.6,670
0,http://www.thedevilscarnival.com/,285743,Released,0.674398,2016-03-29,2016,0,0,Hell ain't got a prayer.,Alleluia! The Devil's Carnival,6.0,2
137000000,null,1927,Released,34.981697,2003-06-19,2003,245360480,138,Unleash the hero within,Hulk,5.3,1533
35000000,null,3604,Released,12.343507,1980-09-01,1980,27107960,111,He'll save every one of us!,Flash Gordon,6.1,233
34200000,null,9032,Released,34.86859,1999-06-25,1999,234801895,93,Nature called. Look who answered.,Big Daddy,6.1,875
24000000,null,16888,Released,2.259537,2000-10-13,2000,13700000,84,He's cool. He's clean. He's a love machine.,The Ladies Man,5.7,34
16500000,null,4584,Released,20.89871,1995-12-13,1995,135000000,136,Lose your heart and come to your senses.,Sense and Sensibility,7.2,352
0,null,70670,Released,20.821846,2011-08-04,2011,15699707,100,The hunt is on.,Hodejegerne,7.1,399
0,http://www.theasylum.cc/product.php?id=148,60463,Released,0.46049,2008-10-21,2008,0,93,null,Sunday School Musical,5.5,4
